Module,Function,Tag,en,zh-Hans
"AD","Skip","Label","Skip %d","跳过 %d"
"Album","Button","","Album","相册"
"Album","Permission","Msg","Allow Spotlite to access Album","Spotlite需要访问您的麦克风，请到设置中开启。"
"Audio","Effect","Auto_Reverberation","Auto Reverberation","合唱团"
"Audio","Effect","Auto_Text","Chorus","合唱"
"Audio","Effect","AutoTone","Techno","电音"
"Audio","Effect","Concert","Concert","演唱会"
"Audio","Effect","Dance","Dance","舞曲"
"Audio","Effect","DoubleU","Illusion","迷幻"
"Audio","Effect","Free_Reverberation","Free Reverberation","超级混响"
"Audio","Effect","Harmonic_Text","Harmonic","团"
"Audio","Effect","Ktv","KTV","KTV"
"Audio","Effect","Live_Studio","Live Studio","录音室"
"Audio","Effect","Live_Valley","Live Valley","空谷"
"Audio","Effect","NewAge","New Age","新世纪"
"Audio","Effect","Not_Support_Text","Effect not supported","歌曲不支持使用此特效"
"Audio","Effect","Original","Original","原声"
"Audio","Effect","Phonograph","Phono","留声机"
"Audio","Effect","Pop","Pop","Pop"
"Audio","Effect","Reverb_L0","Normal","原声"
"Audio","Effect","Reverb_L10","Professional","魔音怪咖"
"Audio","Effect","Reverb_L20","Dominating","实力唱将"
"Audio","Effect","Reverb_L30","Godlike","专业歌手"
"Audio","Effect","Reverb_L40","Legendary","顶级歌神"
"Audio","Effect","Reverberation","Reverberation","混响"
"Audio","Effect","RnB","R&B","R&B"
"Audio","Effect","Robot","Robot","机器人"
"Audio","Effect","Rock","Rock","摇滚"
"Audio","Effect","Setting_Echo_Text","Reverb Effect","混响效果"
"Audio","Effect","Setting_Title","Sound Settings","音效设置"
"Audio","Effect","Setting_Volume_Text","Volume of Voice","人声音量"
"Audio","Effect","Space","Space","空间"
"Audio","Effect","Super_Text","Super","超级"
"Audio","Effect","Text","Effect","音效"
"Audio","Effect","Theatre","Theatre","小剧场"
"Audio","Effect","Tip_Builder","Reverb Effects","混响特效\n（%s）"
"Audio","Rhythm","Move_Left_Text","Moves forward by %d milliseconds","人声向前移动%d毫秒"
"Audio","Rhythm","Move_Right_Text","Moves backward by %d milliseconds","人声向后移动%d毫秒"
"Audio","Rhythm","Move_Text","Move the human voice","移动人声"
"Block","Button","","Block","加入黑名单"
"Camera","Button","","Camera","相机"
"Camera","Filter","BlueCrystal","Fresh","清新"
"Camera","Filter","Brighten","Brighten","美白"
"Camera","Filter","Cool","Clear","清凉"
"Camera","Filter","Elegant","Grace","优雅"
"Camera","Filter","Grayscale","Gray","黑白"
"Camera","Filter","Japanese","Pure","日系"
"Camera","Filter","LakeWater","Retro","复古"
"Camera","Filter","Mosaic","Painting","油画"
"Camera","Filter","Normal","Normal","无"
"Camera","Filter","Origin","Natural","自然"
"Camera","Filter","Radial","Radial","穿越"
"Camera","Filter","ThinFace","Thin","瘦脸"
"Camera","Filter","Whiten","Brighten","美白"
"Camera","Filter","Yunying","Vignette","晕影"
"Camera","Permission","Msg","Allow Spotlite to access Camera","Spotlite需要访问您的相机，请到设置中开启。"
"Cancel","Button","","Cancel","取消"
"Cash","Record","Fail","Fail.reason:","失败。原因："
"Cash","Record","Processing","In the processing","处理中"
"Cash","Record","Success","Succeeded","成功"
"Choose","Location","Title","Choose Location","选择地区"
"Cmp","Detail","Join_Dialog_Btn","Pick a song","去选歌"
"Cmp","Detail","Join_Dialog_Msg","Start to make your masterpiece","开始录制你的参赛作品吧"
"Cmp","Detail","Rule_Label","Rules","规则"
"Cmp","Detail","Share_Label","Share","分享"
"Coin","Notice","Title","Notice","提示"
"Coin","Pending","Transaction_Details","You have an underway purchase:%@, continue?","你还有未完成的充值"
"Coin","Pending","Transaction_Tips","You have an underway purchase, continue?","你还有未完成的充值，是否要继续？"
"Common","ActionSheet","Camera","Take a Photo","拍摄"
"Common","ActionSheet","Photo","Choose from Albums","从相册中选择"
"Common","Alert","Cancel","Cancel","取消"
"Common","Alert","Exit","Exit","退出"
"Common","Alert","OK","OK","确定"
"Common","Button","Retry","Retry","重试"
"Common","Cell","Edit_Delete","Delete","删除"
"Common","Delete","success_tip","Delete successful","删除成功"
"Common","Loading","Tips","Loading…","正在加载…"
"Common","ProgressHud","Composing","Composing…","合并中…"
"Common","ProgressHud","Converting","Converting…","转码中…"
"Common","ProgressHud","Loading","Loading…","加载中…"
"Common","ProgressHud","Saving","Saving…","保存中…"
"Common","PullRefresh","Loading","Loading…","正在加载"
"Common","PullRefresh","LoadMore","Load more","加载更多"
"Common","PullRefresh","PullDown","Pull","下拉刷新"
"Common","PullRefresh","Refresh","Refreshing…","正在刷新"
"Common","PullRefresh","Release","Release","松开刷新"
"Common","Time","Day","%dd","%d天前"
"Common","Time","Hour","%dh","%d小时前"
"Common","Time","Min","1min","1分钟内更新"
"Common","Time","One_min","%dmin","%d分钟前"
"Common","Tip","DataTypeWrong","Something happens…","数据类型出错"
"Common","Tip","PoolNetwork","Please check network connection","请检查网络连接，稍后重试"
"Common","Twitter","Service_Unavailable","Twitter service unavailable","Twitter服务不可用"
"Common","Waring","confirm_msg","Confirm deletion","确认删除"
"Comp","Label","History","History","历史比赛"
"Competition","Detail","Empty_Desc","Be the first one to join this contest","抢占先机，做第一个参加比赛的人吧～"
"Competition","Detail","Finished_Label","Finished","已结束"
"Competition","Finish","Label","Finished","已结束"
"Competition","History","Entrance","Finished Contests","历史比赛"
"Competition","History","Title","Finished Contests","历史比赛"
"Competition","Join","Alert_Content","Start to make your masterpiece","演唱歌曲即可参加比赛"
"Competition","Join","Alert_Tip","Tip","提示"
"Competition","JoinButton","Label","Join","参加"
"Competition","JoinedButton","Label","Joined","已参加"
"Competition","List","Finished_Label","Finished Contests","历史比赛"
"Competition","PickSong","Button","Pick a song","选择歌曲"
"Competition","RankType","FastestRising","Fastest Rising","上升最快"
"Competition","RankType","Top100","Top 100","前100名"
"Competition","RankType","UpToDate","Most Recent","最新作品"
"Competition","Share","Button","Share","分享"
"Continue","Button","","Continue","继续"
"Date","Day","Label","d","日"
"Date","Hour","Label","h","小时"
"Date","Min","Label","min","分钟"
"Date","Week","Label","w","周"
"Date","Year","Label","y","年"
"Del","UserWork","Success_Msg","Deleted","删除作品成功"
"Dialog","Follow","CancelFollow","Are you sure you want to unfollow?","确定取消关注吗？"
"Dialog","Set","Logout","Are you sure you want to exit?","确认要退出登录？"
"Dialog","Visitor","Remove","Are you sure you want to remove this visitor?","确定删除此访客吗？"
"Empty","Block_Users","Label","No one is blocked.","黑名单为空"
"Empty","Cash_History","Label","You haven\'t made any withdrawal requests. Please win more diamonds.","你还没有发起过提现，多多赢取钻石吧。"
"Empty","Coming_Soon","Label","Coming soon","即将到来"
"Empty","Comment_Notice","Label","You haven\'t got any comments, make some new friends here.","你还没有收到评论，多跟大家互动吧"
"Empty","Competition","Label","Be the first one to join this contest.","抢占先机，做第一个参加比赛的人吧～"
"Empty","Description","","Hi explorer, there\'s nothing here for now.","这里暂时没有内容，去看看别的吧"
"Empty","Gift_Notice","Label","You haven\'t received any gifts yet.","你还没有收到礼物，多发一些作品吧"
"Empty","Gift_Rank","Label","The work hasn\'t received any gifts.","该作品还未收到礼物。"
"Empty","My_Contest","Label","Go to Home > Spotlite to choose a contest you like. May you win the first prize!","去首页  > Spotlite 里选择你心动的比赛参加吧，祝你夺得头筹！"
"Empty","My_Fans","Label","You haven\'t got any fans, make some new friends here.","你还没有粉丝，去认识些新朋友吧"
"Empty","My_Follows","Label","You haven\'t follow anyone, make some new friends here.","你还没有关注别人，去认识些新朋友吧"
"Empty","My_Songs","Label","Sing a song to celebrate the bright day!","唱一首歌来庆祝这美好的一天吧～"
"Empty","My_Visitor","Label","You can start by visiting other users:)","还没有人访问过你，先去访问别人吧～"
"Empty","Normal_Notice","Label","You don\'t have any messages.","你还没有收到通知，去看看别的吧"
"Empty","Other_Fans","Label","Hi explorer, there\'s nothing here for now.","这里暂时没有内容，去看看别的吧"
"Empty","Other_Follows","Label","Hi explorer, there\'s nothing here for now.","这里暂时没有内容，去看看别的吧"
"Empty","Other_Songs","Label","Hi explorer, there\'s nothing here for now.","这里暂时没有内容，去看看别的吧"
"Empty","Work_Comment","Label","Be the first one to leave your comment:)","第一个留下你的评论吧～"
"Error","Gold","Label","Your phone doesn\'t have google service, can\'t purchase any coins.","你的手机缺少google服务，无法充值金币。"
"Exmoney","Dialog","Content","Successfully Done","成功"
"Exmoney","Dialog","Title","Congratulations","祝贺你"
"Filter","All","Button","All","全部"
"Filter","Audio","Button","Audio","音频"
"Filter","Button","","Filter","筛选"
"Filter","Title","","Please Choose","选择"
"Filter","Video","Button","Video","视频"
"Gift","Rank","Entrance","Contribution Rank","贡献榜"
"Gift","Tip","Car","send a car","送了一辆超级跑车"
"Gift","Tip","Casstle","send a casstle","送了一座浪漫城堡"
"Gift","Tip","Plane","send a plane","送了一架飞机"
"Gift","Tip","Ship","send a ship","送了一艘豪华游轮"
"GooglePay","Pay","recharge_cancel","Canceled purchase","用户取消支付"
"GooglePay","Pay","recharge_error","Failed to charge","支付失败"
"GooglePay","Pay","recharge_loading_Inventory","Recovering your last purchase","please try again later"
"GooglePay","Pay","recharge_loading_request","Requesting for purchase","正在请求支付"
"GooglePay","Pay","recharge_loading_verify","Verifying purchase","正在验证支付"
"GooglePay","Pay","recharge_success","Purchase succeed","金币购买成功，请查看你的金币数"
"GooglePay","Pay","setup_error","Can not connect to Google Pay","无法连接到Google Pay!"
"Home","Featured","Title","FEATURED","热门"
"Home","Follow","MultiLive_Title","Friends\' Livestream","好友直播"
"Home","Follow","Recommend_Cancle_FollowSuccess","Cancel successful!","取消成功!"
"Home","Follow","Recommend_CombineCancel","Canceled","绑定取消"
"Home","Follow","Recommend_CombineFail","Not connected","绑定失败"
"Home","Follow","Recommend_CombineSuccess","Connected","绑定成功"
"Home","Follow","Recommend_Combining","Connecting…","正在绑定…"
"Home","Follow","Recommend_FollowSuccess","Following","关注成功"
"Home","Follow","Recommend_Title","Recommended friends","推荐好友"
"Home","Follow","Title","FOLLOW","关注的人"
"Home","Spotlite","Title","SPOTLITE","比赛"
"Home","UploadTip","Fail","Upload failed","上传失败"
"Home","UploadTip","Uploading","Uploading","正在上传"
"Home","UploadTip","Waiting","Waiting","等待上传"
"Input","MaxLength","Msg","Too many characters","字数超过限制"
"Input","Name","Msg","Please input your name","请输入姓名"
"Input","Retry","Msg","Please re-enter","请重新输入"
"Keyboard","Placeholder","Tip","Say something…","说点什么…"
"Live","AnchorAlwaysSing","Label","Anchor\'s hot song","主播常唱"
"Live","BackButton","Tip","BACK","返回"
"Live","Button","Reconnect","Reconnect","重连"
"Live","Complete","Diamonds","",""
"Live","Complete","End","THE END","直播已结束"
"Live","Complete","Gifts","Gifts","礼物"
"Live","Complete","Time","Lasts","时长"
"Live","Complete","Viewer_Recommend","You may also like","猜你喜欢"
"Live","Complete","Viewer_Viewers","%1$s viewers","%1$s 观众"
"Live","Complete","Viewers","Viewers","观众"
"Live","ConnectFailed","Alert","Connection failed,reconnect","服务器连接失败，是否重新连接"
"Live","Dialog","gag_content","",""
"Live","Dialog","gag_ok","",""
"Live","Dialog","gag_title","",""
"Live","Dialog","Net_Weak_Title","Your network connection is poor, reconnect to continue live streamming","亲，您的网络太差，需要重连才能继续直播，是否重连"
"Live","Dialog","WB_Retry","Connection failed, reconnect","连接异常，是否重新连接"
"Live","DiamondsReceivedThisTime","Tip","Diamonds received this time","本次直播收到钻石"
"Live","Error","Audio","Recording failed, please check Recording permission settings","录制失败，请检查录音权限"
"Live","Error","Camera","Camera/Recording permissions cannot be accquired. Please allow Spotlite to access your Camera and Recording to go live (If it still fails, please restart your device)","您的相机和录音权限未打开，请到设置-更多应用-spotlite-权限管理，打开相机和录音权限，就可以直播啦（若依然无法开播，请重启手机）"
"Live","Error","Init","Failed to go live _%s, try opening this page again","推流初始化失败_%s，尝试重新进入直播页面"
"Live","Error","Init_player","Player initialization failed","播放器初始化失败"
"Live","Error","Load_Song","Song files loading failed","歌曲文件加载失败"
"Live","Error","Net_Weak","Network connection is poor and audiences cannot see your show. Please restart your livestream","亲，您的网络太差，观众看不到您的直播了，请重新开播"
"Live","Error","OS","System version is too low to open Livesteam","系统版本过低，无法开启直播"
"Live","Error","RTMP_Connect","Connection failed, reconnecting…","连接失败，正在重试"
"Live","Error","Viewer_Retry","Failed to connect to the livestream service","重试播放失败"
"Live","Error","Viewer_URL","Something wrong with your livestream source, reconnecting…","链接出问题了，正在尝试重新链接"
"Live","Error","Viewer_Video","Some trouble with the service, go back and re-enter this room","主播可能遇到了小麻烦，尝试重新进入房间"
"Live","Error","WB_Retry","Some trouble with the service. No chatting right now. Video playing is not affected","重试失败，无法聊天和看观众，但不影响观看视频"
"Live","Exit","Tip","Are you sure you want to exit?","确定要退出直播吗？"
"Live","HeartIsNotReady","Tip","Wait a few seconds to send free gift again","耐心等待几秒，免费礼物就会生成~"
"Live","Message","Block_Success_Tip","Blocked successfully","拉黑成功"
"Live","Message","Block_User_Label","Block","加入黑名单"
"Live","Message","Block_User_Tip","Are you sure you want to block this person? You will no longer be able to follow him once blocked.","加入黑名单后你们将解除关注关系，并且不能再互相关注"
"Live","Message","Confirm","Confirm","确定"
"Live","Message","Empty","Type","不能输入空内容"
"Live","Message","Exceeds_Limit","Message too long","字数超过限制啦"
"Live","Message","gift_dian","send","点"
"Live","Message","gift_give","send","送"
"Live","Message","Input_Report_Reason_Tip","Describe report","请输入举报原因"
"Live","Message","Lucky_Egg_Get_GIft","You received a lucky egg","通过幸运彩蛋开出了"
"Live","Message","Prohibition_Tip","Are you sure you want to silence this user?","确定30分钟内禁止该用户说话？"
"Live","Message","Report_Reason_Advertisement","Advertisement","广告"
"Live","Message","Report_Reason_Harassment","Harassment","发表垃圾评论进行骚扰"
"Live","Message","Report_Reason_Label","Report reason","举报原因"
"Live","Message","Report_Reason_Other_Reason","Other reason","其他原因"
"Live","Message","Report_Reason_Pornography","Pornography","政治或色情内容"
"Live","Message","Report_Reason_Scam","Scam","带有人身攻击、辱骂的评论"
"Live","Message","Send","Send","发送"
"Live","Message","SendStr","Send","送了"
"Live","Message","share_the_live_stream","Shared this Livestream","分享了本次直播"
"Live","Message","Thx_For_Report_Tip","Thanks for your report. We will address your issue ASAP.","感谢您的举报，我们会及时处理"
"Live","Message","UnBlock_Label","Unblock","解除黑名单"
"Live","Message","UnBlock_Success_Tip","Unblocked successfully","移除黑名单成功"
"Live","Message","UnBlock_User_Tip","Do you want to unblock user?","解除该用户的黑名单"
"Live","Message","unit_of_measurement","","个"
"Live","Message","zh_le","","了"
"Live","MiniPlayerClose","Tip","Are you sure you want to stop playing?","确定要结束音乐吗？"
"Live","MiniPlayerDownloading","Tip","Downloading the music…","歌曲正在下载中"
"Live","MiniPlayerDownloadMusicFail","Tip","Music download failed，please check your internet.","伴奏文件下载失败，请检查网络连接状态"
"Live","Msg","Arrive","just arrived.","来了"
"Live","Msg","Emoji","sent an emoji.","送出了一个emoji表情"
"Live","Msg","Follow","followed the broadcaster.","关注了主播"
"Live","Permission","camera","Camera","启用相机"
"Live","Permission","location","Location","启用定位"
"Live","Permission","message","Need these permissions to Start Live","开启直播\n需允许以下权限"
"Live","Permission","message_camera","Show Yourself","秀出你的颜值"
"Live","Permission","message_location","More people can see You","更多人看到你"
"Live","Permission","message_mic","Great Voice is You","好声音就是你"
"Live","Permission","mic","Mic","启用麦克风"
"Live","PreparePageTitle","Label","Say something(within 30 words)","播点什么? (30字以内)"
"Live","Prohibition","Label","Ban","禁言"
"Live","Publisher","Click_Live","You cannot watch others\' live shows while you are in your own","误点了吧，您现在正在直播哦，不能进入其他人的直播!"
"Live","Publisher","Close_MiniPlayer","Are you sure you want to stop music?","确定要结束音乐吗？"
"Live","Publisher","Download_Song","Downloading","伴奏下载中"
"Live","Publisher","Filter_Tip","Swipe to switch filter","左右滑动可切换滤镜"
"Live","Publisher","ShareContent","%s is live on Spotlite. Come and join!","%s正在Spotlite直播，快来看看！"
"Live","RechargeButton","Label","Purchase >","充值 >"
"Live","Recommend","Tip","You May Also Like","可能喜欢"
"Live","SeenLiveCount","Tip","Visitors","人看过"
"Live","SelectButton","Label","Select","点歌"
"Live","SelectCount","Label","- selected %@ times","- 已点%@次"
"Live","SelectCount","Label1","selected %@ times","已点%@次"
"Live","ShareDialog","Title","Live Broadcast on Spotlite","Spotlite直播"
"Live","ShareToFacebook","Label","share to facebook","分享直播到facebook"
"Live","ShareToTwitter","Label","share to twitter","分享直播到Twitter"
"Live","Sing","Always_Sing_Songs_List","History","主播常唱歌曲列表"
"Live","Sing","Hot_Song_List","Hot songs","热门歌曲"
"Live","Sing","Received_Song_EmptyText","The broadcaster has not received songs.","主播还未收到点歌，为他点一首吧！"
"Live","Sing","Received_Song_List","Song list received","主播已收到的点歌列表"
"Live","Sing","Received_Song_VC_Title","Sing a song for you","为你唱首歌"
"Live","Sing","Received_Tab","Received","收到点歌"
"Live","Sing","Search","Song name/singer","歌曲名、歌手名、首字母"
"Live","Sing","Search_Clear_Result","Clear all","清除搜索记录"
"Live","Sing","Search_No_Result","No search results","暂无搜索结果"
"Live","Sing","Search_Tips","song or artist","歌曲名、歌手名、首字母"
"Live","Sing","Selected_Tab","History","已点歌曲"
"Live","Sing","Sing_Tab","Sing","点歌台"
"Live","Sing","Song_List","Song List","点歌单"
"Live","Song","Animation_Fans","and %d fans listened this song","及%d个粉丝点了此歌"
"Live","Song","Animation_One_Fans","Ordered this song","点了此歌"
"Live","Song","Play","Play","播放"
"Live","Song","Singed_Count","Sang %d times","已唱%d次"
"Live","StartToPushStream","Label","start","开始直播"
"Live","TheEnd","Tip","THE END","直播结束"
"Live","Tip","Anchor_Leave_A_Moment","Broadcaster is leaving for a while, please wait…","主播离开一会儿，请稍候"
"Live","Tip","Audio","Please check \""No Reminder\"" and agree to avoid vocal/accompaniment alignment problems!","请先勾选不再提醒并同意，再重新开播否则会导致严重的人声伴奏对齐问题!"
"Live","Tip","GetBannedByBroadcast","You have been blocked for %ld min","您已被主播禁言%ld分钟"
"Live","Tip","GetBannedByBroadcast4Android","You have been blocked for %d min","您已被主播禁言%d分钟"
"Live","Tip","Invalid","Current network connection Is poor. Please switch network and restart app!","由于当前网络环境过差，无法支持视频直播。请切换至其他网络或改善所处网络环境后重新开播！"
"Live","Tip","LiveWrong","Something happens, please try again later…","直播出现问题，建议稍后重试"
"Live","Tip","Low","Current network connection Is poor. Spotlite has switched to smooth mode. To use HD mode, connect to another network and restart app!","由于当前网络环境较差，已切换至流畅模式。如需使用高清模式，请改善所处网络环境后重新开播！"
"Live","Tip","PullToBlackList","You have been blocked","您已被主播拉黑"
"Live","TotalDuring","Tip","Lasts","直播时长"
"Live","UserSentGiftCount","Tip","Gifts","收到礼物"
"Live","Viewer","Black","You have been blocked","您已被主播拉黑"
"Live","Viewer","Chat_time","Banned for %s minutes","还有%s分钟才可以发言"
"Live","Viewer","Exit","Tap twice to exit.","再按一次将退出观看!"
"Live","Viewer","Resume","",""
"Live","Viewer","URL_Change","Video stream address changed, reconnect","播放地址有更新，重新加载"
"Login","Account","Facebook","Sign in with Facebook","Sign in with Facebook"
"Login","Account","Phone","Phone Number","Phone Number"
"Login","Account","Twitter","Sign in with Twitter","Sign in with Twitter"
"Login","Email","Label","Continue with Email","Email登录"
"Login","Error","Login","Login Failed","登陆失败"
"Login","Error","Token_Error","Your Spotlite account has logged in from another place.","你的Spotlite账号在其他地方登录，即将被挤下线。非本人行为请尝试重新登录！"
"Login","Error","Token_Invalid","User authorization expired, Please log in again","用户授权过期，请你重新登录"
"Login","Facebook","Label","Continue with Facebook","Facebook登录"
"Login","Phone","Label","Continue with Phone","手机号码登录"
"Login","Third_Account","Label","Continue With","登录方式"
"Login","TokenInvalid","Alert","Your account is being logged in on another device, please log in again.","你的账号正在别的设备上使用，请重新登录。"
"Login","Twitter","Label","Continue with Twitter","Twitter登录"
"Me","BlackList","Empty_Desc","No one is blocked.","黑名单为空"
"Me","Cash","BindPaypal_Tip","Connect to your Paypal account …","绑定你的Paypal账号……"
"Me","Cash","ExchangeMoney_Tip","Convert diamonds to money …","正在把钻石兑现成现金……"
"Me","Cash","Success_Label","Your payout request will be handled within 5 business days","你的提现申请将于5个工作日内完成"
"Me","Charge","Bonus_Label","Bonus","奖励"
"Me","Charge","Diamond2Cash_Tip","Are you sure to cash %1$@ diamonds out into $%2$@?","请确定要将%1$@钻石提现成$%2$@？"
"Me","Charge","Diamond2Coin_Tip","Are you sure to convert %1$@ diamonds to %2$@ coins?","请确定要将%1$@钻石兑换成%2$@金币？"
"Me","Charge","IAP_IsRequesting","Connecting…","正在请求…"
"Me","Charge","Label","Convert to Coins","兑换金币"
"Me","Charge","LessDiamond_Tip","Your diamonds are not enough","你的钻石不足"
"Me","Charge","Success_Tip","Converted","兑换成功"
"Me","Charge","Tip_BuyFail","Purchase failed","充值失败"
"Me","Charge","Tip_BuySuccess","Purchase successful!","充值成功！"
"Me","Charge","Tip_CheckYourOrder","Checking your order…","正在验证…"
"Me","Charge","Tip_ItunesStoreConnectFail","Cannot connect to iTunes Store, please retry again","无法连接到iTunes Store"
"Me","Charge","Tip_ItunesStoreRequestingPay","Requesting for purchase…","正在请求支付…"
"Me","Charge","Tip_ItunesStoreRequestTimeOut","Cannot connect to iTunes Store, please retry again","iTunes Store请求超时，请稍后重试"
"Me","Charge","Tip_PurchaseSuccess","Purchased","金币购买成功，请查看你的金币数"
"Me","Charge","Tip_RequestingProductInfo","Requesting for purchase information","正在请求产品信息…"
"Me","Charge","Tip_UserCancelPay","Purchase cancelled","用户取消支付"
"Me","Coin","ExchangeDiamond_Tip","Convert diamonds to coins …","正在把钻石兑换成金币……"
"Me","Coins","Available_Label","Available Coins","可用金币"
"Me","Coins","Avaliable_Label","Availiable Coins","可用金币"
"Me","Coins","Label","Coins","金币"
"Me","Comment","Empty_Desc","You haven\'t got any comments, make some new friends here.","你还没有收到评论，多跟大家互动吧"
"Me","Competition","Label","Contests","比赛"
"Me","Contest","Empty_Desc","Go to Home > Spotlite to choose a contest you like. May you win the first prize!","去首页  > Spotlite 里选择你心动的比赛参加吧，祝你夺得头筹！"
"Me","Fans_Other","Empty_Desc","Hi explorer, there\'s nothing here for now.","这里暂时没有内容，去看看别的吧"
"Me","Fans_Self","Empty_Desc","You haven\'t got any fans, make some new friends here.","你还没有粉丝，去认识些新朋友吧"
"Me","Follow_Other","Empty_Desc","Hi explorer, there\'s nothing here for now.","这里暂时没有内容，去看看别的吧"
"Me","Follow_Self","Empty_Desc","You haven\'t follow anyone, make some new friends here.","你还没有关注别人，去认识些新朋友吧"
"Me","Gift","Empty_Desc","You haven\'t received any gifts yet.","你还没有收到礼物，多发一些作品吧"
"Me","Income","Label","Earnings","收入"
"Me","Level","Label","Upgrade","等级"
"Me","Money","Ammount_Label","Total withdrawal ammount","总计提现金额"
"Me","Money","Cash_Label","Cash out","提现"
